"faqNbr","carClassNbr","faqCarNbr","faqCarNm","question","answer"
1826,5521,1542,기아 올 뉴 K3,연비는 얼마나 나오나요?,기름값 걱정 마세요. 연비 신경 안 쓰고 다녀도 약 13km/L 나오고 조금만 항속하면 복합 17km/L를 기대할 수 있습니다. 올림픽대로 같은 데를 느긋하게 달리면 L당 20km 이상도 가능합니다. 이는 웬만한 디젤 소형차 수준이지요.
1827,5521,1542,기아 올 뉴 K3,주로 4명이 타면 K5가 나을까요?,이 차도 충분합니다. 뒷자리 공간이 타사 중형차와 견줄 수 있을 정도예요. 심지어 트렁크는 그야말로 '사기급'입니다. 이로써 공간만 놓고 보면 '굳이 중형차 살 필요 있냐'는 생각 들 것입니다.
1828,5521,1542,기아 올 뉴 K3,"LED 헤드램프, 필수인가요?","LED가 소비 전력과 광도, 스타일 면에서 유리한 건 사실. 그러나 스탠다드형 할로겐 타입도 충분히 쓸 만합니다. 올 뉴 K3와 비슷한 램프 구성의 그랜저 IG를 봐도 할로겐 헤드램프 비중이 적지 않습니다. 여기 너무 얽매이지 마세요."
1829,,1522,"쉐보레(GM대우) 어메이징 뉴
                크루즈",왜 1.8보다 1.4 터보 매물이 많아요?,"1.4 터보가 1.8보다 잘 나갑니다. 토크가 더 세기 때문이죠. 아울러 1.4의 자동차세가 1.8보다 저렴합니다. 문제 많은 자동변속기에 쿨러 달린 것도 1.4의 메리트. 대신 관리 면에서는 터보 없는 1.8이 유리하기도 합니다. 결국 일장일단이 있는 것."
1830,,1522,"쉐보레(GM대우) 어메이징 뉴
                크루즈",더 퍼펙트 크루즈랑 다른 점은?,북미형의 앞 범퍼와 중국형 크루즈의 리어 디자인을 품은 혼종 모델입니다. TPMS의 기본화와 더불어 곳곳에 원가 절감이 들어간 것도 특징. 참고로 프로젝션 헤드램프는 2015년 7월 이후 출고분부터 달렸고 이전까지는 전과 같은 MFR 타입이 적용됐습니다.
1831,,1522,"쉐보레(GM대우) 어메이징 뉴
                크루즈","1.8은 상당히 느리다던데.","에, 절반쯤 맞는 얘기입니다. 분명 터보 달린 최신 모델처럼 힘차게 내달리는 맛은 없지요. 하지만 마음 느긋~하게 먹으면 충분히 탈 만합니다. 그저 출퇴근용이라든가 마트용으로써 굴릴 때는 전혀 부족하지 않을 거예요."
1832,,1522,"쉐보레(GM대우) 어메이징 뉴
                크루즈",특출한 장점이 뭔가요?,충돌에 강하다는 인식(실제 테스트 결과는 아니었지만)이 있습니다. 아반떼나 K3보다 남성적인 스타일도 어떤 이에게는 장점일 테죠. 무엇보다 중고로 살 때 아반떼나 K3보다 100만~200만원 저렴합니다. 이것 만으로도 가치는 충분하지요.
1833,,1522,"쉐보레(GM대우) 어메이징 뉴
                크루즈",잔고장은 없나요?,이 차의 초기형은 2008년 11월에 나왔습니다. 그때부터 쭉 팔렸다는 거죠. 이게 품질 안정성 면에서는 장점으로 통합니다. 웬만한 결함이 다 잡혔으므로. 결국 자동변속기에 대한 불만만 제외한다면 잔고장 걱정은 안 해도 좋습니다.
1834,5337,1482,"쉐보레(GM대우)
                올란도",이 차가 왜 ‘올란텔’이에요?,올란도+모텔의 합성어죠. 2~3열이 판판하게 접혀 숙박용으로도 쓸 만하다는 게 이유랍니다. 그만큼 공간활용성이 좋다는 뜻일 텐데요. 실제로도 2열 폴딩용 댐퍼가 달린 것과 3열 머리받침이 버튼으로 접히는 것 등 공간 활용에 대한 많은 배려가 있는 차입니다.
1835,5337,1482,"쉐보레(GM대우)
                올란도",디젤과 LPG 중 뭐가 나을까요?,LPG는 힘이 약하지만 조용하고 부드럽습니다. 이로써 시내 주행이 많은 분께 추천합니다. 반면 디젤은 시끄럽지만 속도 올리기 편합니다. 연비도 LPG보다 훨씬 좋지요. 이는 고속 주행 비중 높고 주행거리 많은 이에게 어울리는 특성일 것입니다.
1836,5337,1482,"쉐보레(GM대우)
                올란도","1.6 디젤은 매물이 적네요?","1.6 디젤은 2015년 9월부터 2.0 디젤을 대신해 나왔습니다. 결국 팔린 기간이 짧아 매물이 적은 거죠. 한편 1.6은 2.0보다 29마력 낮지만 연비가 2.5km/L 좋고 자동차세가 약 20만원 쌉니다. 또 개선된 GEN Ⅲ 변속기가 달린 것도 1.6의 장점이에요."
1837,5337,1482,"쉐보레(GM대우)
                올란도",아반떼 몰던 와이프가 운전할 만할까요?,올란도는 준중형차인 크루즈 베이스의 미니밴입니다. 아반떼 AD와 비교 시 95mm 길고 35mm 넓을 뿐이지요. 이쯤이면 i40 크기 수준이니 아반떼 몰던 분도 운전할 만하겠지요. 오히려 시야가 훨씬 좋아 더 편할 거예요.
1838,5337,1482,"쉐보레(GM대우)
                올란도",카렌스와 비교해 장점이 뭐예요?,카렌스는 여성적이고 올란도는 남성적입니다. 짐짓 SUV처럼 여겨지기도 하죠. 충돌에 강하고 주행성이 탄탄한 것도 이 차의 장점. 출시(2011년 3월)부터 큰 변화 없이 팔리다 단종되어 비교적 덜 낡아 보이기도 합니다.
1839,6163,1462,"KG모빌리티(쌍용) G4
                렉스턴",프레임 보디는 장단점이 있다던데.,보통 승용차에 비해 몸놀림이 둔하고 승차감이 살짝 거칩니다. 뾰족한 굽잇길은 무게중심 높아 부담스럽지요. 대신 오프로드 성능과 차대차 충돌에 강합니다. 견인 능력도 우월하지요. 참고로 현존하는 국산 프레임 보디 SUV는 이 차와 모하비가 유일합니다.
1840,6163,1462,"KG모빌리티(쌍용) G4
                렉스턴","4기통 엔진인데 괜찮을까요.","260마력의 모하비와 비교하면 출력(187마력)에 대한 아쉬움이 있는 게 사실. 그래도 다른 부분에서, 예컨대 저렴한 자동차세와 상대적으로 좋은 연비로써 보상 받으실 거예요. 무엇보다 진동과 소음이 6기통 디젤 수준으로 우수한 것도 매력이지요."
1841,6163,1462,"KG모빌리티(쌍용) G4
                렉스턴",AS는 얼마 동안 제공되나요?,"엔진과 변속기는 5년 또는 10만km까지, 이를 제외한 일반부품은 3년 또는 6만km까지입니다. 참고로 일반부품의 AS 기간은 보증연장 서비스를 통해 최대 7년 또는 10만km까지 늘릴 수 있습니다."
1842,6163,1462,"KG모빌리티(쌍용) G4
                렉스턴",유라시아 에디션이 뭔가요?,"20인치 휠과 HID 헤드램프, 전자동 테일게이트, 내비게이션을 기본화하되 값을 낮춘 ‘가성비 중시형 등급’입니다. 다만 여기에는 전자동 에어컨 대신 수동 에어컨이 들어가고 차음 유리와 짐칸 덮개, 클러스터 이오나이저 등이 빠지는 게 흠입니다."
1843,6163,1462,"KG모빌리티(쌍용) G4
                렉스턴","2WD는 사면 안 되나요?",어차피 4WD 모델도 파트타임 방식으로서 평소엔 2WD일 뿐입니다. 서로 같은 입장이라는 거죠. 다만 2WD로 사신다면 겨울에 반드시 윈터 타이어를 준비하세요. 기본적으로 후륜구동 베이스이기 때문에 겨울에는 필수입니다.
1844,5521,1442,기아 더 뉴 K3,깡통(디럭스) 등급도 괜찮나요?,"‘뽐뿌’에서 국산차 최고 가성비라며 인정 받은 모델이죠. 디럭스도 에어백 6개 기본에 자세제어장치까지 달려 훌륭합니다. ‘컨비니언스’ 옵션 달았다면 시트 열선과 후방 주차센서, 오토라이트도 장비해요. 출퇴근용으로 쓴다면 이것 만으로도 충분하겠죠?"
1845,5521,1442,기아 더 뉴 K3,초기형 K3랑 비슷한 거 맞죠?,"네, 앞쪽 위주로 바뀌었는데 그 임팩트는 약합니다. 사실 변화의 긍정적 요소는 디자인보다 성능에 있습니다. 엔진과 변속기 세팅을 변경, 실용영역에서의 가속력이 개선됐어요. 실제로 ‘제로백’이 전보다 1초 정도 빨라졌고 연비도 좋아졌다지요."
1846,5521,1442,기아 더 뉴 K3,직분사(GDI) 엔진은 시끄럽다던데.,연료분사 소음과 고압펌프 소리 때문에 대체로 그렇지요. 하지만 더 뉴 K3는 직분사 엔진 달고도 소음이 억제되어 있습니다. 오너들 사이에서 꼽히는 장점도 “조용하다”는 것이니 정숙성이나 진동에 대한 걱정은 안 하셔도 괜찮겠네요.
1847,5521,1442,기아 더 뉴 K3,같은 연식의 아반떼 AD보다 싼 이유는?,"설계 면에서 아반떼 AD의 섀시가 K3(MD 베이스)보다 신형입니다. 결정적으로 아반떼가 비싼 이유는 ‘아반떼라서’예요. 역설하면 더 뉴 K3의 상품성도 결코 밀리지 않는다는 거죠. 승차감과 가속력, 정숙성 등 둘은 충분히 비교될 만한 차입니다."
1848,5521,1442,기아 더 뉴 K3,기름값 생각하면 경차가 낫지 않나요?,아뇨. 모닝(JA)과 비교해도 더 뉴 K3의 실연비가 더 좋습니다. 시내는 9~11km/L로 양쪽이 비슷하지만 고속도로에서는 L당 20km 이상 갈 수 있는 K3가 우세합니다. 연비만 놓고 저울질한다면 경차보다는 K3를 권하는 이유지요.
1849,5882,1422,"KG모빌리티(쌍용) 티볼리
                에어",그냥 티볼리랑 뭐가 달라요?,"더 깁니다. 티볼리보다 245mm 길쭉해 뒷자리와 트렁크 공간이 더 커졌습니다. 키도 35mm 높고 이에 따라 시트고도 올라가 제법 SUV 모는 느낌을 줍니다. 앞뒤 범퍼와 휠 디자인, 늘어난 길이에 따른 옆 모습 변화도 주목할 포인트."
1850,5882,1422,"KG모빌리티(쌍용) 티볼리
                에어",뒷자리가 아반떼 AD보다 넓은가요?,티볼리 에어 뒷자리가 더 널찍합니다. 무릎 공간이 크고 천장이 높아 머리 쪽이 여유롭지요. 결정적으로 티볼리 에어는 뒷좌석 등받이 각도 조절이 됩니다. 세단형인 아반떼 AD는 기대할 수 없는 기능이지요.
1851,5882,1422,"KG모빌리티(쌍용) 티볼리
                에어",티볼리와 달리 디젤 매물이 더 많네요?,맞습니다. 티볼리보다 크고 쓰임새도 조금 달라서겠죠. 티볼리 에어 가솔린 모델은 디젤 대비 힘이 약하고 연비도 나쁩니다. 그 대신 가솔린은 디젤보다 차 값이 싸다는 최대 장점을 품지요. 결국 파워와 가격 간의 저울질에 따라 고르는 게 중요합니다.
1852,5882,1422,"KG모빌리티(쌍용) 티볼리
                에어",여성 운전자인데 잘 몰 수 있을까요?,SUV 중에서는 운전이 쉬운 편이에요. 티볼리보다 길다지만 여전히 아반떼보다 130mm 짧고 차 폭도 더 작거든요. 결국 키만 더 큰 것이니 주차나 끼어들기 같은 거 할 때 어렵지 않을 거예요. 오히려 시야는 더 좋으니 금세 적응할 겁니다.
1853,5882,1422,"KG모빌리티(쌍용) 티볼리
                에어","덩치가 작은데, 튼튼한가요?","6개의 에어백, 타이어 공기압 경보, 자세제어장치 등의 안전 옵션이 전 등급 기본입니다. 아울러 쌍용에 따르면 튼튼하고 질긴 고장력 강판 적용 비율이 70%를 넘긴다지요. 티볼리의 KNCAP 결과가 91.9/100점인 것도 안심할 만한 팩트입니다."
1854,7404,1402,기아 더 뉴 레이,뒤집어지면 어떡하죠?,식빵처럼 좁고 높은 까닭에 벌어진 오해일 뿐. 생김새와 달리 주행안정성이 우수해 절대 쉽게 뒤집히지 않아요! 결정적으로 전복방지장치를 포함한 차체자세제어장치가 전 등급 기본이므로 그런 걱정 안 해도 됩니다.
1855,7404,1402,기아 더 뉴 레이,레이도 ‘손따’와 ‘엉따’가 있나요?,네! 기본형인 디럭스만 빼고 모든 등급에 시트 열선이 들어가요. 다만 운전대 열선은 럭셔리와 프레스티지만 기본입니다. 디럭스는 아예 없고 트렌디에서는 20만원짜리 옵션으로 운영됐죠. 그러니까 트렌디 살 거면 ‘손따’ 여부를 잘 봐야겠지요?
1856,7404,1402,기아 더 뉴 레이,기존 레이에서 껍데기만 바뀐 거죠?,제원표에 드러나지 않는 ‘성능’ 개선도 있습니다. 가령 멍청하던 변속기가 명민해짐에 따라 속도 끌어올리기 수월해졌습니다. 승차감이 확 좋아진 것도 중요합니다. 구형은 “엉덩이 아프다”는 말을 들었지만 신형은 한층 유연해졌어요.
1857,7404,1402,기아 더 뉴 레이,경차도 취등록세를 내나요?,"2019년부터는 경차일지라도 취득에 따른 세금을 냅니다. 신차든 중고차든 차 값의 4%에 해당하는 취득세를 내죠. 대신 50만 원까지 지원해줍니다. 사실상 면세와 마찬가지. 내봤자 10만 원 안팎이라 부담은 크지 않습니다. 더 뉴 레이는 최대 14만 9,000원 나와요."
1858,7404,1402,기아 더 뉴 레이,LPG(LPI) 버전은 어때요?,기름값 아끼기 좋습니다. 가솔린 모델보다 연비 나쁠지언정 LPG 값이 싸서 금세 보전할 겁니다. 구형의 바이퓨얼 때 있었던 시동꺼짐 등의 문제도 이번에는 안정화됐다는 후문. 신차가도 동 사양 가솔린 대비 딱 100만원 높을 뿐이니 고려할 만합니다.
1859,,1382,기아 스포티지 4세대,시내 위주면 2.0보다 1.7이 낫죠?,"1.7과 2.0을 저울질할 때는 ‘변속기 차이’를 보는 게 중요합니다. 예컨대 1.7의 DCT는 가감속 잦은 환경보다 고속에 어울려요. 반대로 2.0의 토크컨버터식 AT는 부드러운 발진으로 도심에 알맞습니다. 여기에 힘과 연비를 함께 버무려 따져보면 좋을 듯."
1860,,1382,기아 스포티지 4세대,"1.7과 2.0 디젤의 연비 차이는요?","1.7 연비가 더 좋습니다. 저배기량 엔진에 DCT 달고 있어서지요. 다만 L당 1~2km 더 갈 정도로 그 차이가 적은 편. 역설하면 2.0 디젤도 기름 적게 먹는다는 겁니다. 참고로 2.0 실연비는 시내 10~11km/L, 고속도로 항속 17~18km/L입니다."
1861,,1382,기아 스포티지 4세대,아반떼 타다 바꾸면 많이 시끄러울까요?,"가솔린 엔진의 아반떼 AD와 비교하면 이 차의 엔진음과 풍절음이 더 시끄럽습니다. 대신 그 차이는 크지 않아요. 결정적으로 나머지 부분들이 비교 우위죠. 공간, 출력, 연비 등 여러 면에서 만족스런 ‘업글’일 것입니다."
1862,,1382,기아 스포티지 4세대,투싼보다 좀 작아 보이는데…,C필러에 쿼터글라스가 없는 까닭인 듯해요. 실제로는 스포티지가 5mm씩 길고 넓습니다. 실내 공간도 훌륭합니다. 2열 등받이 각도 조절 기능도 매력이죠. 쏘렌토와 비교해도 트렁크가 조금 작다는 것만 빼면 얼추 비슷한 공간감입니다.
1863,,1382,기아 스포티지 4세대,R엔진 오일증가 이슈는 괜찮나요?,현재는 ECU 업데이트로 해결됐습니다. 사실 R엔진 케이스처럼 경유가 실린더 타고 엔진오일에 섞이는 건 DPF 달린 디젤차에서 종종 있는 일이라고. 아울러 “엔진오일에 경유가 섞여도 윤활 성능에는 문제 없다”는 엔진오일 제조사의 코멘트도 있습니다.
1864,6077,1362,현대 아반떼 AD,"3세대 i30(PD) 1.6T 대비 장점이 뭔가요?",아반떼 스포츠 뒷자리가 더 넓습니다. 잔존가치 면에서도 살짝 유리합니다. 결정적으로 i30는 7단 DCT만 물리지만 아반떼 스포츠는 6단 수동변속기도 고를 수 있습니다. 튜닝이나 서킷에 관한 데이터도 좀 더 많습니다.
1865,6077,1362,현대 아반떼 AD,중고로 살 때 뭘 유의해야 하나요?,차 성향 상 튜닝카들이 많고 튜닝했다 ‘원복’한 차들도 많은데요. 혹여 ECU 맵핑이 된 적은 없는지 챙겨봐야 합니다. 그런 이력이 있다면 5년/10만km의 엔진 관련 보증이 완전히 거부될 수 있기 때문입니다.
1866,6077,1362,현대 아반떼 AD,객관적으로 성능이 정말 좋은가요?,예. 수동 모델 기준 0→100km/h 가속을 7초 초반에 끊는 준족입니다. 최고속도는 215km/h에서 제한되지만 그때도 힘의 여유가 있습니다. 코너에서도 안정적이고 다루기 쉽습니다. 입문용 퍼포먼스 카로 강력 추천합니다.
1867,6077,1362,현대 아반떼 AD,노말 아반떼보다 연비가 많이 나쁜가요?,"아반떼 132마력, 아반떼 스포츠 204마력. 힘의 차이가 있으니 기름을 더 먹는 건 당연합니다. 하지만 힘의 차이만큼 연비 차이가 큰 건 아닙니다. 가령 아반떼가 14km/L 나온다면 아반떼 스포츠는 12km/L쯤 기대할 수 있습니다."
1868,6077,1362,현대 아반떼 AD,보험료에 ‘스포츠카 할증’ 붙지 않나요?,다행히 스포츠카 할증에서 제외됩니다. 이에 따라 보험료는 그저 아반떼 AD 수준일 뿐입니다. 여담이지만 매년 내는 자동차세도 노말 아반떼와 같습니다. 결국 고성능 모델임에도 고정비의 대부분이 상당히 저렴하다는 소리입니다.
1869,3796,1342,"기아 올 뉴 모닝
                (JA)",경차들은 연비가 잘 안 나오던데.,예전에는 그랬죠. 한데 올 뉴 모닝은 다릅니다. 이상할 만큼 연비가 잘 나오더군요. 코드명 TA인 전작 대비 20%쯤 좋아진 듯합니다. 복합 17km/L 정도? 대신 가속력이 살짝 느려졌어요. 결국 성능보다는 ‘기름값 중시하는 사람’에게 알맞겠네요.
1870,3796,1342,"기아 올 뉴 모닝
                (JA)",고속도로 많이 타면 별로겠죠?,이 부분도 예전 경차와 좀 다릅니다. 주행안정성이 획기적으로 개선되었거든요. 시속 100km 언저리에서는 웬만한 준중형차보다 안정적이고 최고속도로 내달릴 때도 크게 불안하지 않습니다. 고속도로 통행료 50% 할인 혜택을 누리기 딱 좋은 차예요.
1871,3796,1342,"기아 올 뉴 모닝
                (JA)",경차도 취득세를 내나요?,"2019년부터는 경차일지라도 취득에 따른 세금을 냅니다. 신차든 중고차든 차 값의 4%에 해당하는 취득세를 내죠. 대신 50만 원까지 지원해줍니다. 사실상 면세와 마찬가지. 내봤자 10만 원 안팎이라 부담은 크지 않습니다."
1872,3796,1342,"기아 올 뉴 모닝
                (JA)",스마트키나 선루프도 있나요?,"럭셔리부터는 스마트키뿐만 아니라 인조가죽시트, 시트 열선, 전동 접이 미러, 블루투스가 기본이에요. 다만 선루프는 프레스티지(최고급형)에서 40만원짜리 옵션으로 넣을 수 있었죠. 참고로 프레스티지에는 AEB와 16인치 휠, 아트컬렉션까지 기본이랍니다."
1873,3796,1342,"기아 올 뉴 모닝
                (JA)",LPG(LPI) 버전은 어때요?,기름값 아끼기 좋습니다. 가솔린 모델보다 연비 나쁠지언정 LPG 값이 싸서 금세 보전할 겁니다. 구형의 바이퓨얼 때 있었던 시동꺼짐 등의 문제도 이번에는 안정화됐다는 후문. 신차가도 동 사양 가솔린 대비 딱 100만원 높을 뿐이니 고려할 만합니다.
1874,,1322,"쉐보레(GM대우) 더 넥스트
                스파크",경차는 위험하잖아요.,"‘안전’은 이 차의 세일즈 포인트입니다. 에어백 6개, TPMS, 자세제어장치도 전 등급 기본이에요. LT부터는 사각지대 경고 시스템을, LT 플러스부터는 뒷좌석 사이드 에어백도 달 수 있습니다. 결정적으로 KNCAP 충돌시험에서 1등급 받아 그 안전도를 입증했죠."
1875,,1322,"쉐보레(GM대우) 더 넥스트
                스파크","4기통이 아니라 3기통 엔진이던데.","3기통이라면 정숙성과 진동 면에서 걱정될 텐데요. 이번 엔진은 구형의 4기통 엔진보다 오히려 더 조용합니다. 진동도 잘 잡아 실린더 수에 대한 거부감이 전혀 없어요. 결정적으로 라이벌인 모닝 역시 3기통 엔진을 달고 나옵니다."
1876,,1322,"쉐보레(GM대우) 더 넥스트
                스파크",모닝보다 느리지 않나요?,전작은 그랬었는데 세대 교체되면서 입장이 바뀌었습니다. 이제는 도리어 ‘넥파크’가 더 잘 나가요. 타 보면 의외로 속도 잘 붙이더라고요. 자동변속기(CVT) 모델의 최고속도도 계기판 상 약 175km/h로 올 뉴 모닝(JA)보다 빠릅니다. 
1877,,1322,"쉐보레(GM대우) 더 넥스트
                스파크",스파크는 편의장비가 적죠?,이 역시 구형 스파크에 관한 얘기일 뿐입니다. 이번 모델은 LT부터 운전대 열선 달 수 있고 마이링크 시스템과 후방카메라도 옵션으로 장비됩니다. 스마트키와 선루프도 적용할 수 있으니 이제 장비 면에서 모닝과 견줄 만하지요.
1878,,1322,"쉐보레(GM대우) 더 넥스트
                스파크",경차는 정말 세금을 안 내나요?,취득에 따르는 세금은 면제가 맞습니다. 이로써 경차 살 때는 신차든 중고차든 차 값의 7%에 해당하는 취득세를 안 냅니다. 대신 보유세 개념인 자동차세는 부과됩니다. 그래 봤자 1년에 10만원 정도라 소유에 대한 부담은 크지 않죠.
1879,4798,1302,현대 베라크루즈,좀 시끄럽겠죠? 출시된 지 오래됐으니.,"베라크루즈의 엔진은 V6 디젤. 오래 탈수록 털털거리는 4기통 디젤과 사정이 좀 다르지요. 실제 장기 보유한 오너들에 따르면 “10만km 훌쩍 넘게 타도 처음의 진동, 소음과 유사하다”고. 아울러 240~255마력의 넘치는 힘도 이 엔진의 부차적 매력입니다."
1880,4798,1302,현대 베라크루즈,"10만km 넘긴 매물 살 때 유의점은?",디젤 엔진의 EGR과 점화코일 고장 사례가 종종 있습니다. 다행히 그 수리비는 부담스럽지 않은 수준. 대신 피에조 인젝터가 고장 나면 만만치 않은 정비 견적(개당 50만원 정도)을 받게 되니 그 상태를 체크해보는 게 좋겠습니다.
1881,4798,1302,현대 베라크루즈,중간에 변속기가 한 번 바뀌었다던데.,"2012년 1월까지는 아이신제 6단 AT였고 이후부터 현대파워텍 6단 AT가 달렸습니다. 내구성, 직결성 등 종합 평가는 후기형이 더 낫다지요. 참고로 아이신 때는 유로 4 충족하는 S엔진(240~245PS), 현대파워텍 시절에는 유로 5의 S2엔진(255PS)입니다."
1882,4798,1302,현대 베라크루즈,언제부터 사이드에어백과 ESP가 달렸는지?,"차체자세제어장치는 2010년 4월부터, 사이드&커튼에어백은 2010년 10월부터 ‘전 등급 기본’이었습니다. 그 이전까지는 풀옵션 모델에서만 기본이었거나 선택 옵션으로써 달아야 했으니 그 유무를 잘 체크해보세요."
1883,4798,1302,현대 베라크루즈,디젤이어도 V6 3.0L니까 연비 나쁘죠?,"큰 덩치와 무게, 배기량 등 악조건을 감안한다면 무난합니다. 시내 약 7km/L, 고속 약 13km/L, 복합연비는 도로 상황과 운전자 성향에 따라 9~12km/L이라는군요. 실제 오너들도 “생각보다 기름 안 먹는다”며 연비에 만족하는 모습입니다."
1884,6192,1282,제네시스 G70,뒷자리가 많이 좁다던데.,객관적으로 성인 남자도 앉을 만합니다. 물론 우리의 기대보다 공간이 옹색한 건 사실이지만요. BMW 3시리즈(F30)와 비교하면 2열 레그룸과 헤드룸이 각각 11mm 열세일 뿐이에요. 참고로 보디 사이즈는 G70이 3시리즈보다 42mm 길고 39mm 넓습니다.
1885,6192,1282,제네시스 G70,유지비가 비싸지 않나요?,기름값을 뺀 나머지 비용은 ‘0’에 수렴시킬 수 있습니다. 일단 AS 기간이 5년 또는 10만km로 상당히 깁니다. 아예 5년 동안 고장 걱정 없는 거죠. 소모품은 3년 또는 6만km까지 무료(중고차 제외). 마지막으로 ‘홈투홈서비스’도 3~6회 공짜입니다.
1886,6192,1282,제네시스 G70,BMW 타다 바꿔도 만족할까요?,"그 BMW가 320d나 520d 같은 모델이었다면 G70이 나을 것입니다. 더 고급스럽고, 훨씬 조용하고, 힘도 더 세니까요. 무엇보다 ‘운전재미’를 추구한다면 디젤 품은 독일차보다는 G70 2.0T나 3.3T가 더 즐겁습니다. 막강한 AS 정책은 덤이죠."
1887,6192,1282,제네시스 G70,G70은 3.3T가 진리인가요?,"그렇죠. 5,000만원으로 370마력을 가질 수 있으니까요. 하지만 2.0T도 훌륭합니다. 3시리즈에 대입하면 330i(252마력)와 동급이거든요. 시장에서도 “스팅어와 달리 G70은 콤팩트하기 때문에 2.0T로 충분하다”는 평이 많습니다."
1888,6192,1282,제네시스 G70,부모님이 몰기에는 어때요?,유럽산 라이벌 대비 정숙성과 승차감이 좋고 편의장비가 풍성해 후회 안 하실 거예요. 보험 개념으로 사륜구동(H트랙)과 어라운드뷰 달린 차를 찾아드린다면 만족스럽겠네요. 이 차는 ‘작은 고급차’로서 접근할 때 으뜸의 선택입니다.
1889,3852,1262,기아 로체 이노베이션,‘일반인’이 로체 LPG를 살 수 있나요?,"17년 1월부터는 ‘출고된 지 5년 넘은 LPG차를 누구나 구입 가능’합니다. 결국 이 차는 단종으로부터 5년 지났으니 모든 LPG 매물을 살 수 있는 거죠. 로체 이노베이션은 LPI 엔진 달아 힘과 연비가 좋고 택시를 통해 내구성까지 입증되었습니다. 강력 추천."
1890,3852,1262,기아 로체 이노베이션,옵션 많은 매물이 없는 듯한데.,이 차 포지셔닝이 좀 그랬습니다. ‘저렴한 중형차’에 대한 수요를 노렸지요. 그래서 쏘나타나 SM5와 달리 편의장비 많은 매물이 잘 없습니다. 대신 가치는 충분합니다. 싸잖아요. 같은 조건 NF 쏘나타랑 비교해도 50만~100만원은 저렴하지요.
1891,3852,1262,기아 로체 이노베이션,최신 중형차보다 많이 좁을까요?,요즘 세단들은 지붕을 납작하게 만듭니다. 이 때문에 2열 머리 쪽이 갑갑하지요. 반면 로체는 그런 쿠페 라이크 스타일이 아니에요. 오히려 요즘 차들보다 뒷자리 헤드룸에 여유가 있지요. 레그룸이 살짝 좁은 것만 빼면 나머지 부분은 충분할 것입니다.
1892,3852,1262,기아 로체 이노베이션,잔고장이라든가 기타 문제점은?,고질병 없답니다. 그냥 제때 소모품 갈고 타면 된다는 게 중론. 그마저도 부품값이 저렴해 부담 없습니다. 굳이 다른 부분에서라도 문제를 꼽자면 하부 방음이 취약하다는 겁니다. 이 때문에 고속으로 달릴 때 “너무 시끄럽다”는 말이 나올지도 몰라요.
1893,3852,1262,기아 로체 이노베이션,운전연습용으로 어때요?,결코 크지 않습니다. LF 쏘나타와 비교 시 길이와 너비가 45mm씩 작아 콤팩트하지요. 최신 차보다 보닛 끝이 잘 보이고 회전 반경 작아 운전과 주차가 쉽습니다. 외판 수리비나 정비비까지 저렴하죠. 여러 면에서 초보 운전자에게 적절한 차입니다.
1894,,1222,"르노코리아(삼성)
                뉴SM5(신형)",YF 쏘나타보다 많이 느린가요?,택시처럼 잽싸게 튀어나가는 걸 원한다면 그렇게 느낄 듯. 하지만 가족용 중형차로 굴릴 때는 무난합니다. 도로 흐름 타는 데에 무리 없어요. 도리어 출력이라는 약점보다 ‘낭창대는 YF에 비해 주행감이 부드럽다는 장점’이 크게 다가옵니다.
1895,,1222,"르노코리아(삼성)
                뉴SM5(신형)",LPG 모델은 어때요?,SM5 LPG는 가솔린 모델과의 출력 차이가 딱 1마력입니다. 상대적으로 LPG 버전의 힘이 센 거죠. 다만 LPG의 경우 헤드가 잘 나간답니다. 그래서인지 가솔린 매물과 시세가 비슷하군요. 결국 차 값에서 아낀 돈을 수리비로 빼 놓는 게 좋겠다는 의견.
1896,,1222,"르노코리아(삼성)
                뉴SM5(신형)",에어백은 몇 개예요?,"6 에어백이 전 트림 기본이었던 건 2011년형부터입니다. 그 이전에는 RE만 6개였고 나머지는 운전석/동반자석 에어백만 기본이었어요. 한편 차체자세제어장치는 2012년형부터 기본, 그 이전 연식은 선택 장비였습니다."
1897,,1222,"르노코리아(삼성)
                뉴SM5(신형)",PE나 SE 등급 사도 될까요?,"PE나 SE도 탈 만합니다. SM5는 특이하게도 전 등급에 시동 버튼, 시트 열선, 전석 오토 업/다운 파워 윈도가 기본이었으니까요. 한참 여담이지만 2012년형 RE를 산다면 2열 커튼과 후석 전용 공조장치의 호사를 누릴 수 있습니다."
1898,,1222,"르노코리아(삼성)
                뉴SM5(신형)",동급 중형차보다 저렴한 이유는?,YF보다 200만원 가까이 싸죠. 원론적인 얘기지만 공급보다 수요가 적어서일 겁니다. 좀 더 파고 들면 CVT(무단변속기) 내구성 등의 이슈로 소비자들이 살짝 꺼려하는 듯. 근데 이런 건 ‘변속기 한 번 수리하고 탄다’는 마음 먹으면 괜찮지 않나요?
1899,,1202,"벤츠 E-클래스
                W212",E200도 괜찮은가요?,"6기통인 E300보다 시끄럽습니다. E300의 7단 AT가 아니라 5단 AT라는 아쉬움도 있죠. 대신 경제적인 면의 장점이 많습니다. 가령 1.8L 엔진이라 3.0~3.5L인 E300보다 보유세를 적게 냅니다. 또 E300은 연비가 8~9km/L지만 E200은 10~11km/L 나온다지요."
